DBN,School Name,X_Coordinate,Y_Coordinate,Latitude,Longitude
01M015,P.S. 015 Roberto Clemente,990141,202349,40.722075,-73.978747
01M064,P.S. 064 Robert Simon,989351,202733,40.72313,-73.981597
01M142,P.S. 142 Amalia Castro,988653,200908,40.718121,-73.984116
01M188,P.S. 188 The Island School,990520,201552,40.719888,-73.97738
01M292,Orchard Collegiate Academy,988117,199174,40.713362,-73.986051
01M839,Tompkins Square Middle School,989351,202733,40.72313,-73.981597
02M001,P.S. 001 Alfred E. Smith,984949,198878,40.71255,-73.997478
02M303,"Facing History School, The",986272,218160,40.765474,-73.9927
02M575,Manhattan Comprehensive Night and Day High School,988592,206219,40.732699,-73.984333
02M580,Richard R. Green High School of Teaching,980671,196282,40.705688,-74.013303
03M149,P.S. 149 Sojourner Truth,998622,231708,40.802649,-73.948088
03M165,P.S. 165 Robert E. Simon,993677,231707,40.802653,-73.965949
03M241,STEM Institute of Manhattan,996547,231315,40.801573,-73.955583
03M258,Community Action School,992277,227605,40.791395,-73.971011
03M415,Wadleigh Secondary School for the Performing & Vis,996943,231693,40.80261,-73.954152
03M860,Frederick Douglas Academy II Secondary School,996943,231693,40.80261,-73.954152
04M038,P.S. 38 Roberto Clemente,999546,226615,40.788668,-73.944762
04M083,P.S. 083 Luis Munoz Rivera,1000322,228326,40.793363,-73.941955
04M096,P.S. 096 Joseph Lanzetta,1001643,230632,40.79969,-73.937179
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,998688,228933,40.795032,-73.947855
04M372,Esperanza Preparatory Academy,1000231,228032,40.792556,-73.942285
04M377,Renaissance School of the Arts,1001999,229837,40.797507,-73.935895
04M680,"Heritage School, The",998959,227816,40.791966,-73.946879
04M964,Central Park East II,1000611,225483,40.785559,-73.940919
05M030,P.S. 030 Hernandez/Hughes,1002117,232805,40.805653,-73.935461
05M036,P.S. 036 Margaret Douglas,996040,234642,40.810705,-73.957409
05M046,P.S. 046 Arthur Tappan,1001883,242218,40.8304,-73.9363
05M123,P.S. 123 Mahalia Jackson,999597,238109,40.820216,-73.944551
05M154,P.S. 154 Harriet Tubman,998395,234568,40.810499,-73.948902
05M161,P.S. 161 Pedro Albizu Campos,997404,237198,40.817719,-73.952476
05M194,P.S. 194 Countee Cullen,1000549,238471,40.821208,-73.941111
05M200,P.S. 200- The James Mccune Smith School,1002033,239485,40.823988,-73.935746
06M005,P.S. 005 Ellen Lurie,1005750,251746,40.857633,-73.922277
06M008,P.S. 008 Luis Belliard,1001789,245040,40.839235,-73.936614
06M028,P.S. 028 Wright Brothers,1000294,242268,40.83163,-73.942023
06M098,P.S. 098 Shorac Kappock,1006981,255430,40.867741,-73.917814
06M132,P.S. 132 Juan Pablo Duarte,1002519,249167,40.850561,-73.933964
06M152,P.S. 152 Dyckman Valley,1004283,252536,40.859804,-73.927578
06M192,P.S. 192 Jacob H. Schiff,997529,238215,40.82051,-73.952023
06M322,Middle School 322,1003590,252953,40.860951,-73.930082
06M324,M.S. 324 - Patria Mirabal,1002010,245005,40.839139,-73.935815
06M346,Community Health Academy of the Heights,1000218,242961,40.833695,-73.942074
06M423,High School for Excellence and Innovation,1004866,254632,40.865556,-73.925464
06M463,High School for Media and Communications,1004704,251344,40.856532,-73.92606
06M468,High School for Health Careers and Sciences,1004704,251344,40.856532,-73.92606
06M528,I.S. 528 Bea Fuller Rodgers School,1002322,249211,40.850683,-73.934676
07X018,P.S. 018 John Peter Zenger,1005647,236712,40.816369,-73.922697
07X154,P.S. 154 Jonathan D. Hyatt,1004885,233733,40.808194,-73.925459
07X223,M.S. 223 The Laboratory School of Finance and Technology,1006159,235708,40.813612,-73.920851
07X224,P.S./I.S. 224,1006735,234507,40.810314,-73.918774
07X343,Academy of Applied Mathematics and Technology,1006735,234507,40.810314,-73.918774
07X379,Jill Chaifetz Transfer High School,1010437,237567,40.818703,-73.905389
